,created_at,text,sentiment
25,2020-06-08 11:48:24+00:00,"RT @FreeShyloNow: GM #Shylobots robot_face sunrise_over_mountainshot_beverage

3202direct_hit LISred_triangle_pointed_up #ES_F $SPX $SPY

index_pointing_up3202direct_hitchart_increasingsmiling_face_with_horns

3209direct_hit 3220direct_hit 3229direct_hit 3232direct_hit

thumbs_down 3202direct_hitchart_decreasingbear_face

3194direct_hit 3189direct_hit 3182direct_hit 3177direct_hit

31…",neutral
26,2020-05-29 19:01:14+00:00,"There are cases where investing in a taxable account over an IRA makes sense. If you’re in a high income tax bracket, paying the lower capital gains tax rate on sales could save you on your tax bill. #stocks #markets #economy @StegentEquity Stegent Equity Advisors, Inc https://t.co/K6hex2nGOK",positive
27,2020-06-16 18:29:18+00:00,"#OfficeSupply orders up significantly as #USA shifted to #workfromhome.

See more data: https://t.co/W29QPIicmd

#Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo",positive
28,2020-07-11 10:07:37+00:00,#stocks making it too easy at times.  #OptionsTrading is my new love and it’s here to stay! https://t.co/NaktOndY98,positive
29,2020-07-15 01:21:09+00:00,"$T  Jul 14    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Buy - Bullish    
◆ Search for the daily stock market timing forecast    
https://t.co/cgw2OmhClQ    
◆ Upper~Lower stock... https://t.co/5iEpNwOVuI https://t.co/vdb3vvRLNX",positive
30,2020-06-27 17:20:15+00:00,RT @leadlagreport: Several large corporations are stopping advertising on Facebook either till July or for the whole of this year. If these…,negative
31,2020-06-09 13:53:57+00:00,$AMZN nice little coiling here.,positive
32,2020-04-13 17:31:40+00:00,"TOS frozen for anyone else?

#es_f $spx $spy #options #futures #cl_f $forex",neutral
33,2020-07-14 22:25:18+00:00,"#NASDAQ E-mini #Futures #NQ_F  up_arrow️ 77.25 Points (0.73%) to 10,720.5 #futurestrading #future #NASDAQ100 #Investment #investing #invest #investor #investors #stock #stocks #StockMarket https://t.co/mzotIguudf https://t.co/jAJH0jEmGH https://t.co/V3OkdJwJEL",positive
34,2020-06-22 13:43:58+00:00,Tenaris $TS Stock Rating Upgraded by Goldman Sachs Group https://t.co/FJKAZWC9bg #stocks,positive
35,2020-04-29 02:45:39+00:00,"RT @ThePitBoss16: Google Stock Soars Near 10% After Earnings 
Alphabet Inc Class A NASDAQ: $GOOGL
Market Reaction After hours 
$1,346.00 +1…",positive
36,2020-06-25 10:59:18+00:00,"DYK that on May 22 2020 $UONE was trading at $1.28 and today it’s opening at $21.50. 
Who put in $1,000 + on or B4 the 26th?
IDK... they should be proud. 
Unless you’re White and haven’t donated money back to the Black community.
Don’t have to.
But it would be nice. 
JS
#stocks https://t.co/yVKpZIVN7G",positive
37,2020-07-16 19:18:42+00:00,"https://t.co/Pj9Gu287hf
$MA, $SAM   to Intraday_Trend_End.] https://t.co/O6wkep5G2a =",neutral
38,2020-06-15 20:01:44+00:00,"RT @jadid: Green suites the #StockMarket . The market continues to rebound, erasing earlier losses. $DJI $NDX $SPX $RUT #MarketUpdate https…",positive
39,2020-06-16 02:45:02+00:00,"$qqq We have detected a noticeable rise in the Zeitgeist for Invesco QQQ Trust at  https://t.co/RAhgfFVkoM
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 101873",positive
40,2020-07-09 13:41:30+00:00,$T dropped under $30 so you know what i did smirking_facesmirking_face,negative
41,2020-05-31 21:10:06+00:00,"#LEGO #LEGOCity set 60132 - Service Station, 2016 Release #LEGOVehicles #LEGOcars #AFOL #LEGObricks #CollectibleToys #Toys #SP500 #stocks #instafollow #legoresaleprices #LEGOblocks #top10best #top10LEGO https://t.co/EBLT5fdutd",neutral
42,2020-06-18 11:28:55+00:00,RT @SheepKnowMore: Fake outrage. $FB is an invaluable Deep State election-interference tool. Tantrums like this by their #FakeNews media al…,negative
43,2020-04-21 13:20:35+00:00,"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX https://t.co/zTkybafvh6",neutral
44,2020-06-10 15:54:01+00:00,"Told ya so @CNBCFastMoney . Tesla $tsla up another 7.5% today so far today to $1,011. At this rate we’ll be at 2k by the end of June. winking_face #tesla #ev #cnbc #stocks #stockmarket #space #batteries #cybertruck #teslasemi https://t.co/kurTilLYSq",positive
45,2020-06-08 15:43:34+00:00,"RT @conkers3: @HTVIOLA @wheeliedealer Thank u4 such generous feedback Henryclapping_hands

Pete &amp; I are focused on #learning &amp; #improving our #investing…",positive
46,2020-06-10 06:45:03+00:00,"That’s right. We’re facing the prospect of a long and deep recession, and yet stock prices have surged 45% in a matter of weeks. Just stay calm — and keep taking the shots #Stocks #Investing https://t.co/sKV4idhlVy",positive
47,2020-05-08 05:04:08+00:00,DHI Group $DHX Price Target Cut to $4.25 by Analysts at B. Riley https://t.co/iVhKwDicqV #stocks,negative
48,2020-04-13 18:12:46+00:00,"RT @vincent13031925: Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…",negative
49,2020-04-29 06:48:21+00:00,"Available #onhand #stocks of REGULAR #CYTOKIT text me at 09653052991  

 #pampalaglag #cytotec #cytoteckit #abortion #mifepristone #misoprostol #abortionpills #abortionphilippines #cytotecphilippines #cytokitphilippines 09653052991 :) https://t.co/7azgTj5r47",neutral
50,2020-06-15 18:05:37+00:00,"Week 24 (Mon PM Recap)

$spx 3023.75 breakout to 3040, 3055, 3070 https://t.co/BpOhEm4Qoc https://t.co/Oz1OY6FuhI",positive
51,2020-06-02 04:27:17+00:00,Check which story for #DowJones has the highest score $V $MMM $MCD https://t.co/8zP8MKc2dK https://t.co/uc6PfL9S6o,positive
52,2020-04-22 09:53:11+00:00,"RT @Lakshmi_888: When I called highs $SPX 33xx,most called 3500+
When most called &lt;1800 at SPX 2175,I called reversal
When most called 3000…",positive
53,2020-07-01 02:15:56+00:00,@omgwtf2011 @BearingtonTrade $T made their dollar back rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing https://t.co/wmKK5XErq0,positive
54,2020-04-17 14:54:41+00:00,"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...
https://t.co/GzEIw6uTWS
#retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC",negative
55,2020-04-24 14:32:14+00:00,Nomura Increases Tractor Supply $TSCO Price Target to $95.00 https://t.co/MKWK2oCfnz #stocks,positive
56,2020-05-08 20:29:16+00:00,$FANG - Diamondback Energy: Quality Guidance From Management. https://t.co/u70RjddJYE #finance #stocks #business,positive
57,2020-07-02 11:00:01+00:00,"televisionAvailable now to view on demand: Cycles In The Time of #COVIDー19, with @bcaresearch's strategist, Mathieu Savary. Watch the webinar now backhand_index_pointing_right  https://t.co/M7ViH92nFC .
#bonds #stocks #investors #funds. https://t.co/yZUCaLqWGu",neutral
58,2020-05-28 16:58:58+00:00,RT @ZacksResearch: What's the short-term outlook for Disney? $DIS https://t.co/R4lUsdzaeV,neutral
59,2020-07-12 08:35:07+00:00,Tenaris SA $TS Expected to Post Quarterly Sales of $1.14 Billion https://t.co/VoQrURiDDx #stocks,neutral
60,2020-07-16 06:56:44+00:00,"RT @JackChappleSci: China Is Buying Up The World's Ports...And No One Is Talking About It
https://t.co/h8vvMo2tLT

#china #business #longbe…",positive
61,2020-06-26 03:35:35+00:00,"RT @FacelessTrader: We can $work from home, oh, oh, oh oh - Fifth Harmony
https://t.co/ZPFeSKXUDa

I dont care about Goldman Sachs downgrad…",positive
62,2020-07-14 23:05:35+00:00,RT @The_Hedge_House: $DLPN Only ONE day removed from the misguided article that was intentionally published by @Benzinga thinking_face. Please do not u…,neutral
63,2020-06-09 07:44:58+00:00,"Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it. 

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/OhukyvRnIm",negative
64,2020-06-07 06:28:55+00:00,Analysts Expect GreenSky Inc $GSKY Will Announce Quarterly Sales of $104.06 Million https://t.co/lI3jhYZz97 #stocks,neutral
65,2020-04-11 19:22:03+00:00,#ES_F #CL_F #NQ_F $GOLD #OOTT #OATT $SPY $SPX #Trading #Forex #forexsignals #EURUSD #GBPUSD #OPEC #Volatility $VIX $VXX #Futures #SP500 #6E_F #6B_F https://t.co/09OqZw6DOg,neutral
66,2020-06-29 15:55:20+00:00,"$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June

https://t.co/KBf02J6Sk1",positive
67,2020-05-04 12:58:35+00:00,@CNBCFastMoney $AAPL-- DUMP DUMP. OVERVALUED AND EXPENSIVE JUNK.,negative
68,2020-05-28 19:48:08+00:00,"@GoldmanSachs, #es, #sp500, #usdollar, #euro, #aussiedollar, #poundsterling
still uncertain on the direction of the dollar. The euro has bounced off the lows. https://t.co/6UTsTHOWiN",negative
69,2020-07-11 04:21:44+00:00,Weekly High Frequency Indicators: The Nowcast Retreats Slightly. https://t.co/2jjkUEBSPC #stockmarket #stocks #trading,neutral
70,2020-06-19 16:34:42+00:00,RT @ChrisCarreon06: Beautiful box in #ES_F $SPX forming this week. You guys know what comes next!,positive
71,2020-06-11 17:55:11+00:00,RT @RedDogT3: $spx intraday look with some levels and thoughts https://t.co/41qBwfESDv,neutral
72,2020-06-08 19:12:55+00:00,$BYND is up 20% since our entry from last week. Price blasted through one PLL zone today and stopped at the second. You want so see support at the PLL zone above 150$ from now on. #stocks https://t.co/C0CaebstL5,positive
73,2020-07-14 09:35:08+00:00,"ABG Sundal Collier - #TF Bank AB TF Bank - Loan loss level down 180bp q-o-q: PBLL in Q2’20 slightly lower than ABGSC and consensus Loan loss level came in at 370bp, down 180bp vs Q1’20 Share to outperform on loan loss relief https://t.co/grKEYWzpv9 #equity #stocks https://t.co/yXYhT8Jf0G",negative
74,2020-06-22 18:40:17+00:00,Apple Option Alert: Jul 17 $380 Calls Sweep (6) below Bid!: 450 @ $3.652 vs 3833 OI; Earnings 7/28 After Close [est] Ref= $358.05 $AAPL,negative
75,2020-07-16 16:11:19+00:00,Picked $amzn 3300 for earnings around 22. Should work If it runs into earnings!,positive
76,2020-07-10 11:31:00+00:00,RT @Northst18363337: Gold and especially silver could be about to experience one hell of a spike. Stay calm if it does and be ready to take…,negative
77,2020-04-27 23:35:31+00:00,$SPX Implied Volatility expiration 05/15/2020 #maxpain #options https://t.co/tFrmDjCFsa https://t.co/Nz0K9K6U6b,negative
78,2020-06-15 12:45:55+00:00,"Only in America do people believe that buying stocks is their national identity and sworn duty to society

$SPX $SPY",positive
79,2020-07-06 02:31:16+00:00,"$GOOG $AAPL $SPY $AMZN $TDOC $TSLA $COST $BA $NFLX $NVDA $TWTR $ZM $BABA $FB $DOW $MSFT $QQQ $BB
To enhance your experience in trading and get instant help click here https://t.co/waJXnpA7xo https://t.co/p94fTX4VO5",positive
80,2020-06-22 10:43:13+00:00,"RT @t0_the_mo0n_: Top stocks to buy this week(in order)-

1- $KTOV huge announcements coming this week rocketchart_increasing
2- $IDEX
3- $BIOC
4- $XSPA
5- $SH…",positive
81,2020-06-17 09:41:55+00:00,RT @stebottaioli: $SPX protect yourself https://t.co/5yuv3AEV5f,negative
82,2020-07-09 14:53:48+00:00,RT @AlertTrade: #algotrading #algotrade $SPX $SPY $AMZN $AAPL $FB $SHOP $NVDA $GOOGL $PAYX $ASPU $SMPL $WBA $BBBY $LEVI $SGH $MSM $HELE $AZ…,neutral
83,2020-06-02 15:33:15+00:00,Dow rises as Wall Street focuses on easing coronavirus lockdowns amid civil unrest https://t.co/SUw6IaN5Kz $SFIX $PFE $CSCO $STX $DKS $ZM,positive
84,2020-06-19 13:56:01+00:00,"Now do September lol

41pts in 1 minute face_with_open_mouth

#es_f $spx $spy https://t.co/jIBi7qoBqz",neutral
85,2020-06-23 22:44:03+00:00,"You're not gonna want to miss this! @Benzinga's last Boot Camp was great, and this one could be even better!
https://t.co/bqaWKdNXVY
#DayTrading #stocks #investing #profits https://t.co/3SqJn6wuiB",positive
86,2020-05-07 11:31:35+00:00,"Another day, another overnight bid higher. Gotta love low volume overnight rallies off key support levels. 

$spx $spy https://t.co/DFsBzOtO27",positive
87,2020-07-14 20:17:10+00:00,"40pts on #nq_f

Made it back plus some more grinning_face_with_smiling_eyes

#es_f line is 3180-81

Bias in this area is 3192

Can't short above it

#nq_f is 10688
#es_f $spx $spy https://t.co/1AssSMIzlZ",negative
88,2020-06-23 19:10:21+00:00,"$ES1! RSI Divergence Signal

Exchange: PRIMEXBT
Symbol: ES1!
Timeframe: 1H
Signal: Bearish Divergence

Date: 06/23/2020, 7:10 PM

Trade SP500 Using Crypto Here:
https://t.co/gnPhDvSijn https://t.co/F3V9579jDp",negative
89,2020-07-06 07:03:47+00:00,RT @kpak82: $AAPL (weekly) https://t.co/vKGRLlIrkD,neutral
90,2020-06-10 12:34:24+00:00,Brokerages Expect Canadian National Railway $CNI Will Announce Earnings of $0.91 Per Share https://t.co/qF29Rzh2oP #stocks,positive
91,2020-04-14 21:45:16+00:00,#NetWire #RAT Targeting Taxpayers is Spreading via Legacy #Microsoft #Excel 4.0 #Macro $MSFT https://t.co/1yvirAzJf4 #Security #INFOSEC #NETSEC #Cybersecurity #APPSEC,neutral
92,2020-07-09 21:56:24+00:00,Proud owner of $AMZN stock. This thing might help me retire next year ...and pay for my yacht,positive
93,2020-04-21 15:40:52+00:00,"RT @dynamicvol: Feels like the market moved on from the 1st order (virus count) to the 2nd order (oil, solvency) effects this week  $SPX $V…",positive
94,2020-06-18 10:41:36+00:00,"Cerus Co. $CERS to Post FY2020 Earnings of -$0.44 Per Share, Cantor Fitzgerald Forecasts https://t.co/IaND4ABRzj #stocks",negative
95,2020-05-03 08:55:08+00:00,"$AHH $AHH.PA - Armada Hoffler Properties, Inc. (AHH) CEO Michael O'Hara on Q1 2020 Results - Earnings Call Transcript. https://t.co/hrBkQkE0dY #business #trading #stocks",neutral
96,2020-07-02 05:30:13+00:00,$AMZN - Amazon establishes new aerospace cloud unit https://t.co/iU2uOt4XDb,positive
97,2020-07-10 12:10:32+00:00,"Chinese authorities appear spooked by their own success getting investors crazy about #stocks. State funds cut stakes in big insurer PICC, tech firms, sending signal #China wants to curb the frenzy. https://t.co/QhPSmAHZEj",negative
98,2020-07-04 23:01:07+00:00,"$FB Sentiment is neutral right now.
News mentions: positive (7), negative (27), neutral (38)
Sentiment score: +0.111 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8",neutral
99,2020-06-08 16:04:35+00:00,"RT @ISABELNET_SA: 🇺🇸 S&amp;P 500

This chart compares the S&amp;P 500 today vs. 1929-30. Have some investors underestimated how far the Fed would g…",negative
100,2020-07-01 21:06:35+00:00,"@bostonchaahhts If “best qtr since 87” doesn’t make you a little nervous, then by all means keep buying $TSLA $AMZN $NFLX $RDFN $CMG. Otherwise now may be a good time to take a little off here. #justsaying 

cc: @mchaudhry82 @traderstewie @Terri1618 @johnscharts https://t.co/QT4F4t1Jn5",positive
101,2020-04-09 14:26:09+00:00,$SPY $SPX $SPXS $SPXL $SPXU Technical Analysis of the SP500 and where I think it might be headed  https://t.co/wzZGqQPX91,neutral
102,2020-06-26 18:16:05+00:00,"RT @Investingcom: *BREAKING:

*FACEBOOK SHARES TUMBLE 8% AMID ADS BOYCOTT

$FB https://t.co/2fTlsYo3l2",negative
103,2020-06-22 12:25:20+00:00,"For Servicing You""
"" Our Chartered Accountants"" 
#StockAdviosry #Advisory #Stocks #investment https://t.co/AtAUE3OANn",neutral
104,2020-04-15 23:00:07+00:00,"$JPM $C $FISV $WFC:

Stimulus Payments Slow Down Online Banking:

https://t.co/8bsaP4P9C2",negative
105,2020-05-08 20:06:26+00:00,"RT @Stash: It’s been a week. Treat yo’ self.
$JNJ #StashStockParty

May Fest. Day 6 🧴right_arrow️https://t.co/96ocgRtnHN https://t.co/64jJxDy0qB",positive
106,2020-04-15 13:49:55+00:00,"$WMT tends to act quite strong during recessions...

Something to keep in mind for the ppl pointing to $AMZN as a reason to be bullish on the economy...

Despite its worthless industry classification, most don't use it as a 'discretionary'... It's $WMT online...",positive
107,2020-07-09 01:40:56+00:00,"RT @Reveretrading: July 9 Plan pushpin

*Click on Picture to Expand* 

As always, very grateful for the feedback you guys give me. Best of luck t…",positive
108,2020-04-28 22:52:46+00:00,VF $VFC Research Coverage Started at BTIG Research https://t.co/zKoR3WIqU8 #stocks,neutral
109,2020-04-09 20:17:34+00:00,Twitter to Share More Data About Users With Advertisers @themotleyfool #stocks $TWTR https://t.co/FP4E8ZZgs0,positive
110,2020-05-28 12:23:01+00:00,RT @only1sidehustle: If you are thinking about buying $BRK.B....... Don't do it.  @WarrenBuffett loves #dividends but he won't pay you any.…,negative
111,2020-07-06 19:38:57+00:00,"RT @Madison89421615: Probably nothing to worry about. Just the “invisible enemy”...

$spy $spx $qqq $eem $iwm $aapl $fb $googl $nflx $amzn…",negative
112,2020-06-14 18:07:03+00:00,"$twtr $msft $amzn $qqq $fb $nflx $xspa $googl $mrna
$penn $nvda $aapl $spy $spx #Futures $bynd $mark $xspa
$tmdi #RobinhoodTraders #SundayThoughts #SundayMotivation #GenZ #Millennials #GenX @DelMonte
 #holarchy #wholeparts #turtlesupdown

Retweet if you are ""a part of"" humanity. https://t.co/HRt2RfDu6i",neutral
113,2020-07-08 08:22:19+00:00,"GlaxoSmithKline ... sounds like a snobby law firm. It's #ThatOneAMCall and $GSK picking up $757 million; $PM tacking on another billion dollars, premarket. 

Tuesday*
Big sharks, taking out $2.4 million in call options, $EIX*

Dow futures, nice overnight rebound. Eyes: $MSFT https://t.co/F4lOMwY4Fz https://t.co/qqFhvGYp1S",positive
114,2020-04-17 20:45:54+00:00,"I think my wife qualifies for a job at Fed as she’s been buying tons of crap since Covid-19 stopped the economy 

$SPX $ES_F $SPY",negative
115,2020-07-13 20:46:22+00:00,"$BIDU $SAVE $WORK $T $AAPL $C $MSFT 
$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $V $TWTR $XLE $XOM

To enhance your experience in trading and get instant help click here https://t.co/o02HlQ7vQI https://t.co/hIMMPsGVB0",positive
116,2020-05-28 14:18:44+00:00,"collisioncollisioncollisioncollision FTXP .0005 UP 66% ON FIRE BIG TIMEwinking_face

#tradingpennystocks  #StocksToTrade #OTCMarkets #SmallCaps #stockpicks #PUMPING #news  #StockAlert #Daytrader #microcap #stocks #trading #PENNYSTOCK #Investors #PressRelease #lowfloat",positive
117,2020-04-13 21:57:25+00:00,"After last week of trading we closed today’s day of trading we closed up $463.35 for a return of 7.37%. Want to know what #stocks are in this M1 Pie!? Check out my video down below for #StocksToTrade in 2020!! 

M1 Finance Portfolio Challenge: https://t.co/B1h1GmNGQp https://t.co/J9wk9h4Lri",positive
118,2020-04-13 20:18:54+00:00,$RCL lost over 16% and is Monday's worst performing $SPX #stock; $NCLH lost over 12% and $HOG lost over 9% while $TDG $CAT $GPS $SIVB $UAL and $LB all closed down over 8% on the day #trading,negative
119,2020-06-28 14:33:00+00:00,RT @Rollinopi: $PBT.U $PTGEF so the mighty Merck are Tweeting about Intensity. https://t.co/tsIYjhYrC4 I especially like this bit. Here’s p…,positive
120,2020-04-17 11:01:16+00:00,Step Back - Define the Edges - and Wait - https://t.co/uFWuhP96ck #trading #stocks #money #fridaythoughts #trend #trends,neutral
121,2020-06-26 21:37:37+00:00,Amazon Workers Urge Bezos to Match His Words on Race With Actions by @KYWeise @nytimes https://t.co/PZMuT3SRR9 more evidence that #Amazon Faces A Crucible Moment With Employees https://t.co/0C1avTwLKq $AMZN,positive
122,2020-04-10 07:51:31+00:00,Central Valley Community Bancorp $CVCY Given Average Recommendation of “Hold” by Brokerages https://t.co/WX2DvSo9O6 #stocks,neutral
123,2020-04-16 18:42:34+00:00,@gg_veritas Those and $SPX!,neutral
124,2020-05-06 01:20:21+00:00,RT @MurdocOTC: $GPFT is a sleeping giant in the marijuana sector guys. .05 pps now could be .50 later this year imo. GREAT DD here just wai…,positive
125,2020-06-13 07:51:43+00:00,RT @RTTNews: TSX Ends On Firm Note As Stocks Rebound After Recent Sell-off https://t.co/t3bMgmf8o7 #stocks #trading #rttnews https://t.co/U…,positive
126,2020-06-25 15:32:44+00:00,"$AAPL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/B7BWRcEdMH https://t.co/J1Mx4dHQ5W https://t.co/MObF3kE7iy",neutral
127,2020-05-06 02:32:50+00:00,"RT @SeekingAlpha: $ATVI - Activision Blizzard, Inc. 2020 Q1 - Results - Earnings Call Presentation. https://t.co/XB1qhvvJBu #finance #busin…",neutral
128,2020-06-26 17:51:53+00:00,Definitely $T ....invested in some today grimacing_face https://t.co/HFBYnKHM27,positive
129,2020-06-03 20:43:06+00:00,$XOM breaking out https://t.co/pdCbo8y4pv,negative
130,2020-04-24 18:02:00+00:00,RT @SeekingAlpha: $LULU - Lululemon: Running Towards Success. https://t.co/QOqNIuLzQH #stocks #business #stockmarket,positive
131,2020-06-10 13:13:50+00:00,"Target Locked $CHRW 
Sold at $83.09 
Take Profit: $81.28 
Stop Loss: $83.92 
Trade with us:https://t.co/injT0PPxiC 
$TSLA $SPY $AAPL #Forex https://t.co/DVQQxs2QKh",negative
132,2020-06-05 00:27:26+00:00,"RT @crescatkevin: Smug traders think a big CFTC non-commercial net short is bullish. 

It was actually its largest ever right before a majo…",positive
133,2020-06-01 16:45:56+00:00,@lovepennies1 thanks for following me! Tell your friends about our group the Head Trader Rico used to work on Wall Street for over 20 yrs! Amy Trader/TA #stocks,positive
134,2020-05-31 15:04:49+00:00,"RT @ValueInvestorRN: So, let me guess, #StockMarket #Futures will stupidly be gapping up (?) on 1) #riots2020,  2) lack of #SocialDistanaci…",negative
135,2020-06-08 17:48:59+00:00,"RT @ETFtrends: Making Salient Points About ESG Investing
Read More &gt; https://t.co/ZygMIFybpr
#etf #investing #stocks #business #news",positive
